RTCid,Parent,Sprint,SP
1000122,396819,14.2,2
1000121,396819,14.1,2
1000120,396819,14.5,2
1000119,396819,14.4,2
1000118,396819,14.3,2
1000117,396819,14.2,2
1000116,396819,14.1,2
1000115,396819,14.5,1
1000114,396819,14.4,1
1000113,396819,14.3,1
1000112,396819,14.2,1
1000111,396819,14.1,1
1000110,396819,14.5,1
1000109,396819,14.4,1
1000108,396819,14.3,1
1000107,396819,14.2,1
1000106,396819,14.1,1
1000105,396819,14.5,1
1000104,396819,14.4,1
1000103,396819,14.3,1
1000102,396819,14.2,1
1000101,396819,14.1,1
1000100,396819,14.5,2
1000099,396819,14.4,2
1000098,396819,14.3,2
1000097,396819,14.2,2
1000096,396819,14.1,2
1000095,396819,14.5,1
1000094,396819,14.4,1
1000093,396819,14.3,1
1000092,396819,14.2,1
1000091,396819,14.1,1
1000090,396819,14.5,2
1000089,396819,14.4,5
1000088,396819,14.3,5
1000087,396819,14.2,2
1000086,396819,14.1,5
1000084,396819,14.5,3
1000083,396819,14.4,5
1000082,396819,14.3,5
1000081,396819,14.2,5
1000080,396819,14.1,5
1000079,396819,14.5,1
1000078,396819,14.4,1
1000077,396819,14.3,1
1000076,396819,14.2,1
1000075,396819,14.1,1
1000064,395871,14.5,1
1000063,395871,14.3,1
1000061,395871,14.5,1
1000060,395871,14.4,1
1000059,395871,14.3,1
1000057,395871,14.2,1
1000056,395871,14.1,1
1000044,396002,14.5,1
1000041,396002,14.4,1
1000039,396002,14.2,1
1000038,396002,14.1,1
396916,395871,14.5,2
396915,395871,14.4,2
396914,395871,14.3,2
396913,395871,14.2,2
396912,395871,14.1,2
396909,396308,14.5,2
396908,396308,14.4,2
396907,396308,14.3,2
396906,396308,14.2,2
396905,396308,14.1,2
396840,396835,14.3,3
396839,396835,14.1,2
396838,396835,14.2,5
396799,396770,14.1,1
396640,395373,14.5,1
396639,395373,14.4,1
396638,395373,14.3,1
396636,395373,14.2,1
396635,395373,14.1,1
396516,396508,14.4,1
396512,396508,14.2,1
396511,396508,14.2,1
396509,396508,14.1,1
396506,396492,14.1,1
396505,396492,14.1,2
396496,396492,14.1,1
396382,396308,14.5,1
396381,396308,14.4,2
396380,396308,14.3,2
396379,396308,14.2,2
396378,396308,14.1,2
396377,395871,14.5,1
396375,395871,14.4,2
396373,395871,14.3,2
396372,395871,14.2,3
396370,395871,14.1,2
396365,396308,14.5,2
396364,396308,14.4,2
396363,396308,14.3,2
396362,396308,14.2,2
396361,396308,14.1,2
396334,396308,14.5,1
396333,396308,14.4,1
396332,396308,14.3,1
396331,396308,14.2,1
396330,396308,14.1,1
396329,396308,14.5,1
396328,396308,14.4,1
396327,396308,14.3,1
396326,396308,14.2,1
396325,396308,14.1,1
396305,396272,14.5,1
396304,396272,14.4,1
396302,396272,14.2,1
396301,396272,14.1,1
396278,396272,14.5,1
396277,396272,14.4,1
396276,396272,14.3,1
396275,396272,14.2,1
396274,396272,14.1,1
396262,396002,14.4,1
396261,396002,14.3,1
396260,396002,14.2,1
396253,396248,14.5,2
396252,396248,14.4,2
396251,396248,14.3,2
396250,396248,14.2,2
396249,396248,14.1,2
396242,395871,14.5,1
396241,395871,14.4,1
396240,395871,14.3,1
396239,395871,14.2,1
396238,395871,14.1,1
396235,395871,14.3,1
396234,395871,14.2,1
396233,395871,14.1,1
